tax	NTC1-CTRL	NWR-003-S1	NWR-032-S2	NWR-036-S3	NWR-089-S4	NWR-102-S5	NWR-103-S6	NWR-107-S7	NWR-108-S8	NWR-114-S9	NWR-115-S10	NWR-116-S11	NWR-117-S12	NWR-118-S13	NWR-119-S14	NWR-121-S23	NWR-122-S21	NWR-126-S17	NWR-127-S19	NWR-130-S18	NWR-151-S20	NWR-153-S22	NWR-154-S16	NWR-156-S15	total
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Commensalibacter;Commensalibacter intestini	14	0	2	0	0	112	8	49	7681	214	1	2	8837	3	704	4671	17583	900	6	11	5	13	1	1	40818
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Yokenella;Yokenella regensburgei	7	2	2	1	1	17393	757	3	0	7457	0	0	56	3	10	3571	1868	17	1	2536	6	3	1	2	33697
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Plesiomonas;Plesiomonas shigelloides	4	0	28962	0	0	0	0	2	1	0	2	1	2	1	5	1	0	0	1	1	74	8	2	0	29067
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella apicola	2	0	1	23184	0	0	3	2	0	4	1	3	1	1	1	4	0	5	1	14	13	2	2	427	23671
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudocitrobacter;Pseudocitrobacter vendiensis	4	16236	0	0	0	0	429	2	0	0	0	2	0	2	0	4	0	0	2	0	0	5	1	3	16690
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	5	1242	945	802	1378	409	101	211	131	467	54	48	200	66	28	242	370	928	735	2543	158	2	1	1248	12314
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	5	40	0	0	0	0	135	1	0	866	0	7	19	0	0	0	0	2	0	1	3	1	1	8899	9980
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	5	44	0	0	0	1	360	0	2	84	0	5	26	0	0	0	0	0	0	0	1	3	1	9291	9823
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Lonsdalea;Lonsdalea quercina	2	0	0	0	0	0	0	409	9	0	1367	0	1	0	0	0	0	4970	269	760	0	1	0	290	8078
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus garvieae	2	0	0	0	0	0	2	3	1	24	6	5	2	1473	15	206	5	324	5539	0	1	0	0	1	7609
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Symbiopectobacterium;Symbiopectobacterium purcellii	0	1	0	0	0	2	1	123	0	0	0	0	0	0	0	0	1	5756	1	1	0	2	0	0	5888
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Rickettsiella;Rickettsiella massiliensis	2	1185	0	0	0	0	3207	1	0	0	0	1	869	1	2	0	1	1	1	0	2	1	1	0	5275
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis	1	181	0	0	0	41	3	9	0	12	0	0	9	724	369	2054	0	1752	20	0	1	1	0	5	5182
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	1	0	0	1	1	40	9	8	44	282	0	6	10	98	18	243	0	3838	11	19	6	0	0	97	4732
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca	0	3586	0	0	0	0	3	13	0	0	0	12	0	3	0	1	0	1	0	98	3	1	0	605	4326
