barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	12891	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode02	barcode02	test_sample	18102	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode03	barcode03	test_sample	6796	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode04	barcode04	test_sample	15081	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode05	barcode05	test_sample	4860	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode06	barcode06	test_sample	9198	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode07	barcode07	test_sample	14316	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode08	barcode08	test_sample	26750	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode09	barcode09	test_sample	18771	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode10	barcode10	test_sample	7880	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode11	barcode11	test_sample	25576	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode12	barcode12	test_sample	23963	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode13	barcode13	test_sample	19320	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode14	barcode14	test_sample	12471	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode15	barcode15	test_sample	15448	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode16	barcode16	test_sample	8057	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode17	barcode17	test_sample	20610	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode18	barcode18	test_sample	26708	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode19	barcode19	test_sample	9525	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode20	barcode20	test_sample	8841	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode21	barcode21	test_sample	16345	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode22	barcode22	test_sample	15957	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode23	barcode23	test_sample	16068	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
barcode24	barcode24	test_sample	29	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
unclassified	unclassified	na	23063	59ad1ed8e287b212f16ecc358da45d92347d7cf5	hdz1	pool1	FAX08980	2024-05-16T14:50:14.694401-05:00
