"LibraryCode"	"LibraryBarcode"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"
"hdz1"	1	12891	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	2	18102	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	3	6796	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	4	15081	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	5	4860	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	6	9198	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	7	14316	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	8	26750	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	9	18771	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	10	7880	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	11	25576	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	12	23963	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	13	19320	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	14	12471	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	15	15448	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	16	8057	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	17	20610	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	18	26708	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	19	9525	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	20	8841	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	21	16345	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	22	15957	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	23	16068	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz1"	24	29	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401
"hdz2"	1	1694	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	2	1333	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	3	1030	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	4	1149	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	5	599	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	6	1445	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	7	676	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	8	1158	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	9	441	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	10	2551	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	11	1376	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	12	2301	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	13	1958	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	14	1646	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	15	2	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	16	189	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	17	2	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	18	325	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	19	0	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	20	0	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	21	9	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	22	4484	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	23	1977	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz2"	24	105	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607
"hdz3"	1	4141	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	2	881	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	3	3140	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	4	3285	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	5	2017	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	6	3451	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	7	2777	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	8	4318	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	9	4519	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	10	2218	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	11	17548	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	12	2278	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	13	2793	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	14	2548	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	15	2709	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	16	2389	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	17	4247	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	18	3800	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	19	2597	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	20	2656	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	21	2292	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	22	2566	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	23	2606	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz3"	24	4	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653
"hdz4"	1	13588	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	2	9793	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	3	12417	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	4	11597	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	5	8877	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	6	14200	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	7	9965	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	8	10520	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	9	12171	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	10	7484	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	11	12381	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	12	13064	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	13	12286	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	14	11609	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	15	10808	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	16	11676	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	17	10716	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	18	9429	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	19	10181	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	20	7463	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	21	8526	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	22	14067	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	23	12744	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz4"	24	6	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383
"hdz5"	1	10444	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544
"hdz5"	2	6858	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544
"hdz5"	3	11008	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544
"hdz5"	4	7546	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544
