"SampleID"	"ExtractID"	"SequenceID"	"steps_remaining"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"ExtractBox"	"ExtractNotes"	"Extract.Volume..uL."	"Total.DNA..ng."	"Resuspended.Extract.Concentration..ng.uL."	"Resuspended.Extract.Volume..uL."	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"InLab"	"Received"	"Priority"	"mist.netting.latitude"	"mist.netting.longitude"	"net.length.area"	"capturing.time"	"sex"	"age"	"female.reproductive.status"	"number.of.pellets"	"body.mass"	"forearm"	"CollectionDate"	"Subject"	"Subj_Certainty"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"
"NWR-031"	"NWR-031-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-09-26	"SA/TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	22.275	1.22	20	0.3	"JW - GCP"	"extracted"	"y"	"9/6/24"	"host DNA"	41.338991	-96.148116	"6m"	"22:32"	"female"	"adult"	"lactating"	"6"	"16.5"	""	2024-06-14	"LABO"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-055"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KCI (NC)"	""	"n"	""	""	NA	NA	""	""	""	""	""	""	""	""	2024-06-18	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-075"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KCI (NC)"	""	"n"	""	""	NA	NA	""	""	""	""	""	""	""	""	2024-06-18	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-032"	"NWR-032-E1"	"NWR-032-S2"	"sample extracted and sequenced"	"nwr1"	"S2"	2	10	NA	NA	NA	2024-09-26	"SA/TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	28.05	0.973	20	0.4	"JW - Fontenelle"	"extracted"	"y"	"9/6/24"	"host DNA"	41.1627321	-95.8958538	"9m"	"21:26"	"male"	"adult"	"n/a"	"4"	"10(?)"	"45"	2024-06-20	"EPFU"	"yes"	32818	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531	"bats"	2025-02-20	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-09291"	"Angel-MinION"	2	3	1500	10	15	"yes"	50
"NWR-033"	"NWR-033-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-09-26	"SA/TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	NA	NA	NA	NA	"JW - Fontenelle"	"extracted"	"y"	"9/6/24"	"host DNA"	41.1627321	-95.8958538	"9m"	"21:32"	"male"	"adult"	"n/a"	"2"	"10(?)"	"47"	2024-06-20	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-033"	"NWR-033-E2"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-31	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	3.26	NA	NA	0.2	"JW - Fontenelle"	"extracted"	"y"	"9/6/24"	"host DNA"	41.1627321	-95.8958538	"9m"	"21:32"	"male"	"adult"	"n/a"	"2"	"10(?)"	"47"	2024-06-20	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-033"	"NWR-033-E3"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-12-05	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	""	NA	75	23.925	NA	NA	0.3	"JW - Fontenelle"	"extracted"	"y"	"9/6/24"	"host DNA"	41.1627321	-95.8958538	"9m"	"21:32"	"male"	"adult"	"n/a"	"2"	"10(?)"	"47"	2024-06-20	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-034"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JW - Fontenelle"	"redo"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"22:15"	"female"	"adult"	"lactating"	"3"	"15"	"48"	2024-06-20	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-073"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KCI (NC)"	""	"n"	""	""	NA	NA	""	""	""	""	""	""	""	""	2024-06-27	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-151"	"NWR-151-E1"	"NWR-151-S20"	"sample extracted and sequenced"	"nwr1"	"S20"	20	13	NA	NA	NA	2024-10-10	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	14.625	0.769	20	0.2	"T. Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.164674	-95.896408	"by hand from roost"	"22:10"	"M"	"Adult"	""	"5"	"22.5 g"	"46 mm"	2024-09-05	"EPFU"	"yes"	7774	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531	"bats"	2025-02-20	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-09291"	"Angel-MinION"	2	3	1500	10	15	"yes"	50
