SampleID,SampleSubject,SampleDate,SampleCollectedBy,SampleNotes,SampleBox,InLab,Received,Priority,mist netting latitude,mist netting longitude,net length/area,capturing time,sex,age,female reproductive status ,number of pellets,body mass,forearm
NWR-003,EPFU,9/13/24,RP (Highlands) please share with Katherine and Olivia ,extracted,NWR Bat Fecals Box 1,y,9/23/24,microbiome,,,,,,,,,,
NWR-007,EPFU,,RP (Highlands) please share with Katherine and Olivia ,extracted,NWR Bat Fecals Box 1,y,9/23/24,microbiome,,,,,,,,,,
NWR-008,MYLE,,RP (Highlands) please share with Katherine and Olivia ,,NWR Bat Fecals Box 1,y,9/23/24,host DNA,,,,,,,,,,
NWR-012,MYLE,,RP (Highlands) please share with Katherine and Olivia ,,NWR Bat Fecals Box 1,y,9/23/24,host DNA,,,,,,,,,,
NWR-031,LABO,6/14/24,JW - GCP,extracted,NWR Bat Fecals Box 1,y,9/6/24,host DNA,41.338991,-96.148116,6m,22:32,female,adult,lactating,6,16.5,
NWR-032,EPFU,6/20/24,JW - Fontenelle,extracted,NWR Bat Fecals Box 1,y,9/6/24,host DNA,41.1627321,-95.8958538,9m,21:26,male,adult,n/a,4,10(?),45
NWR-033,EPFU,6/20/24,JW - Fontenelle,extracted,NWR Bat Fecals Box 1,y,9/6/24,host DNA,41.1627321,-95.8958538,9m,21:32,male,adult,n/a,2,10(?),47
NWR-034,EPFU,6/20/24,JW - Fontenelle,redo,NWR Bat Fecals Box 1,y,9/6/24,microbiome,41.1627321,-95.8958538,9m,22:15,female,adult,lactating,3,15,48
NWR-035,MYCI,9/23/24,BA,,NWR Bat Fecals Box 1,y,10/31/24,host DNA,41.71595,-103.67247,NA,NA,F ,juvenile,,,6,33.92
NWR-036,MYCI,9/26/24,BA,,NWR Bat Fecals Box 1,y,10/31/24,host DNA,42.71776,-102.92947,NA,NA,F ,juvenile,,,6,33.2
NWR-037,MYCI,9/23/24,BA,,NWR Bat Fecals Box 1,y,10/31/24,microbiome,41.71595,-103.67247,NA,NA,M ,juvenile,,,7,33.09
NWR-038,LANO,9/26/24,BA,,NWR Bat Fecals Box 1,y,10/31/24,host DNA,42.71776,-102.92947,NA,NA,M ,juvenile,,,13.5,43.05
NWR-039,MYCI,9/23/24,BA,,NWR Bat Fecals Box 1,y,10/31/24,microbiome,41.71595,-103.67247,NA,NA,F,juvenile,,,7.5,33.08
NWR-040,LABO,9/26/24,BA,,NWR Bat Fecals Box 1,y,10/31/24,host DNA,42.71776,-102.92947,NA,NA,M,juvenile,,,9.5,38.95
NWR-089,EPFU,,RP (Highlands) please share with Katherine and Olivia ,extracted,NWR Bat Fecals Box 1,y,9/23/24,microbiome,,,,,,,,,,
NWR-092,MYLE,9/12/24,RP (Highlands) please share with Katherine and Olivia ,,NWR Bat Fecals Box 1,y,9/23/24,TBD - How many host DNAs?,35.0165837,-83.2232563,4m,22:19,F,A,NR,,4,33
NWR-094,MYLE,9/12/24,RP (Highlands) please share with Katherine and Olivia ,,NWR Bat Fecals Box 1,y,9/23/24,host DNA,35.0165837,-83.2232563,4m,20:02,M,J,,,3.75,32
NWR-099,EPFU,,RP (Highlands) please share with Katherine and Olivia ,extracted,NWR Bat Fecals Box 1,y,9/23/24,microbiome,,,,,,,,,,
NWR-102,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,M,A,,ND,17.9,47
NWR-103,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,J,NR,ND,19.25,50.5
NWR-104,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,A,PL,ND,21.5,48
NWR-105,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,J,NR,ND,16.1,44
NWR-106,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,J,NR,,14.6,45
NWR-107,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.4138409,-92.949176,,,F,J,NR,,20,45.3
NWR-108,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.4138409,-92.949176,,,M,J,,,ND,46.1
NWR-109,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.4138409,-92.949176,,,F,J,NR,,21,49.4
NWR-110,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,39.86615655,-92.50563753,,,M,A,,,18.8,48
NWR-111,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,A,PL,,19.5,50
NWR-112,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.56991934,-92.71078332,,,F,J,NR,,20,47.9
NWR-113,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.563229,-91.85844,,,M,J,,,18,45.2
NWR-114,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,M,J,,,15.5,46
NWR-115,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,J,,,15.7,47
NWR-116,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,39.86615655,-92.50563753,,,M,A,,,16,44
NWR-117,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.5788157,-91.89688037,,,,,,,,
NWR-118,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,M,J,,,15.1,48
NWR-119,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.5788157,-91.89688037,,,F,A,PL,,21.3,46
NWR-120,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.5788157,-91.89688037,,,F,A,PL,,24,49
NWR-121,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,J,NR,,18.9,48
