SampleID	SampleCollectedBy	SampleNotes	CollectionDate	Subj_Certainty	Subject	n_dna_extracts	n_16s_sample
HDZ-001	HDZ Keepers		2023-11-04	yes	Warble	1	1
HDZ-002	HDZ Keepers		2023-11-01	yes	Warble	1	1
HDZ-004	HDZ Keepers	Vaginal closure began	2023-10-28	yes	Warble	1	1
HDZ-005	HDZ Keepers	Suspected date of conception	2023-10-27	yes	Warble	1	1
HDZ-010	HDZ Keepers		2023-10-31	yes	Culi	1	1
HDZ-011	HDZ Keepers		2023-10-29	yes	Culi	1	1
HDZ-012	HDZ Keepers		2023-11-08	yes	Culi	1	0
HDZ-013	HDZ Keepers		2023-10-26	yes	Culi	1	1
HDZ-014	HDZ Keepers		2023-10-27	yes	Culi	1	1
HDZ-015	HDZ Keepers		2023-10-30	yes	Warble	1	1
HDZ-016	HDZ Keepers		2023-11-01	yes	Culi	1	1
HDZ-018	HDZ Keepers		2023-10-30	yes	Culi	1	1
HDZ-019	HDZ Keepers	Complete vaginal closure	2023-10-29	yes	Warble	1	1
HDZ-020	HDZ Keepers		2023-11-04	yes	Culi	1	1
HDZ-021	HDZ Keepers		2023-10-28	yes	Culi	1	1
HDZ-022	HDZ Keepers		2023-11-03	yes	Culi	1	1
HDZ-023	HDZ Keepers		2023-11-03	yes	Warble	1	1
HDZ-024	HDZ Keepers		2023-11-02	yes	Culi	1	1
HDZ-025	HDZ Keepers		2023-10-31	yes	Warble	1	1
HDZ-026	HDZ Keepers		2023-11-02	yes	Culi	1	1
HDZ-027	HDZ Keepers		2023-11-05	yes	Warble	1	1
HDZ-028	HDZ Keepers		2023-11-05	yes	Culi	1	2
HDZ-029	HDZ Keepers		2023-11-02	no	Unknown	1	1
HDZ-030	HDZ Keepers		2023-11-06	yes	Warble	1	2
HDZ-031	HDZ Keepers		2023-11-10	yes	Warble	1	0
HDZ-032	HDZ Keepers		2023-11-11	yes	Culi	1	1
