flow_cell_id,experiment_id,kit,barcode,alias
AXA477,NWR-CM,SQK-16S024,barcode02,NWR-032-S2
AXA477,NWR-CM,SQK-16S024,barcode20,NWR-151-S20
AXA477,NWR-CM,SQK-16S024,barcode22,NWR-153-S22
AXA477,NWR-CM,SQK-16S024,barcode16,NWR-154-S16
AXA477,NWR-CM,SQK-16S024,barcode15,NWR-156-S15
AXA477,NWR-CM,SQK-16S024,barcode01,NWR-003-S1
AXA477,NWR-CM,SQK-16S024,barcode03,NWR-036-S3
AXA477,NWR-CM,SQK-16S024,barcode04,NWR-089-S4
AXA477,NWR-CM,SQK-16S024,barcode05,NWR-102-S5
AXA477,NWR-CM,SQK-16S024,barcode06,NWR-103-S6
AXA477,NWR-CM,SQK-16S024,barcode07,NWR-107-S7
AXA477,NWR-CM,SQK-16S024,barcode08,NWR-108-S8
AXA477,NWR-CM,SQK-16S024,barcode09,NWR-114-S9
AXA477,NWR-CM,SQK-16S024,barcode10,NWR-115-S10
AXA477,NWR-CM,SQK-16S024,barcode11,NWR-116-S11
AXA477,NWR-CM,SQK-16S024,barcode12,NWR-117-S12
AXA477,NWR-CM,SQK-16S024,barcode13,NWR-118-S13
AXA477,NWR-CM,SQK-16S024,barcode14,NWR-119-S14
AXA477,NWR-CM,SQK-16S024,barcode17,NWR-126-S17
AXA477,NWR-CM,SQK-16S024,barcode18,NWR-130-S18
AXA477,NWR-CM,SQK-16S024,barcode19,NWR-127-S19
AXA477,NWR-CM,SQK-16S024,barcode21,NWR-122-S21
AXA477,NWR-CM,SQK-16S024,barcode23,NWR-121-S23
AXA477,NWR-CM,SQK-16S024,barcode24,NTC1-CTRL
